1 0 0 0 0 0 -1 -1 -1 -2147483648 -1 -1
2 0 512 204 0.995122 0.995122 47764 128000 352 14108 51893 352
3 0 506 198 0.975369 0.985294 49103 128000 224 13801 30998 225
4 0 505 204 1 0.993443 48226 128000 352 13569 36365 289
5 0 500 205 1 0.995092 47827 127648 224 14677 39627 224
6 0 503 202 1 0.997047 48393 128000 224 13150 32512 224
7 0 518 205 0.990338 0.995912 48258 125166 224 11998 32167 224
8 0 489 193 1 0.997173 50153 111025 224 13168 32036 224
9 0 501 202 1 1 48999 127512 224 13363 43482 224
10 0 499 198 0.99 0.998897 48369 119887 224 13940 41094 224
11 0 494 197 0.994949 0.998508 49263 128000 352 12386 31970 224
12 0 513 239 0.97551 0.996011 47906 128000 224 13729 37675 324
13 0 502 250 0.954198 0.99166 48608 128000 224 13811 59658 224
14 0 501 222 0.995516 0.991974 48634 128000 352 13373 42145 224
15 0 502 200 1 0.992857 49422 128000 224 13555 32078 224
16 0 492 199 0.99005 0.992677 51060 128000 224 13020 37459 224
17 0 500 236 0.987448 0.992308 49654 102551 224 12881 49648 287
18 0 504 250 0.992063 0.992291 48538 128000 224 13373 51164 224
19 0 515 321 0.981651 0.991412 47819 114154 224 13358 55109 224
20 0 486 253 0.988281 0.991222 48135 127776 224 14121 54191 225
